acc_x,acc_y,acc_z
0.47358,-0.24561,0.00982
0.585322222,-0.205277778,-0.338288889
0.6992,-0.127875,-0.34135
0.747725,-0.0767875,-0.1217
0.7646125,-0.062525,0.2156
0.816222222,-0.011077778,0.4859
0.910722222,0.084333333,0.555033333
0.997925,0.0830125,0.4493875
0.977833333,0.006455556,0.297555556
0.9199,-0.0440125,0.214475
0.923011111,-0.038177778,0.211455556
1.0070625,-0.031675,0.22945
1.1186,-0.064044444,0.224533333
1.1985,-0.095211111,0.225377778
1.2513,-0.115157143,0.253557143
1.28403,-0.16804,0.28968
1.1365875,-0.235125,0.3279625
0.822811111,-0.295211111,0.417711111
0.7795,-0.3032125,0.16875
0.8082625,-0.2712625,-0.1137125
0.883755556,-0.324444444,0.069266667
1.151675,-0.2562375,0.3629125
1.330011111,-0.194311111,0.592011111
1.1393125,-0.1644625,0.691375
0.847155556,-0.127633333,0.598155556
0.698125,-0.09345,0.465125
0.623746154,-0.058184615,0.324307692
0.6310625,-0.0556875,0.1400625
0.658322222,-0.026244444,0.044066667
0.6627625,0.02635,-0.00055
0.660455556,0.023044444,0.083211111
0.7137625,-0.0025875,0.2679375
0.914044444,-0.080388889,0.358455556
1.156575,-0.163425,0.32355
1.31105,-0.2219875,0.32515
1.43832,-0.20132,0.41004
1.4125375,-0.1754125,0.5298
1.2095375,-0.218075,0.5438875
0.999644444,-0.245477778,0.408088889
0.9223375,-0.2205125,0.187275
1.018433333,-0.166366667,-0.031755556
1.0915875,-0.0641875,-0.2046
1.044155556,-0.049911111,-0.060955556
1.1757875,-0.0763625,0.1416
1.502825,-0.039525,0.2777
1.50468,-0.03521,0.52248
1.0466,0.0129375,0.83065
0.6638625,-0.02915,0.8389375
0.605833333,-0.0666,0.483955556
0.712142857,-0.0514,0.0218
0.78828,-0.01482,-0.31571
0.78595,0.023175,-0.3761625
0.757533333,0.020644444,-0.253688889
0.679775,0.0087875,-0.06505
0.526744444,-0.022211111,0.266144444
0.43755,-0.03435,0.5496875
0.523333333,0.013033333,0.506411111
0.6886875,0.010375,0.29385
0.8847,-0.052655556,0.122733333
1.11065,-0.0278,-0.003725
1.1984875,0.03185,0.0144
1.157822222,-0.009555556,0.214411111
1.148675,-0.132875,0.4993375
1.207711111,-0.246055556,0.677933333
1.207733333,-0.277566667,0.543822222
1.17444,-0.23742,0.32594
1.051641667,-0.131783333,0.148158333
1.0428375,-0.1247,0.2999
1.305822222,-0.158566667,0.460566667
1.4901125,-0.1993625,0.66975
1.293577778,-0.170944444,0.833477778
0.9474375,-0.0994375,0.7619375
0.70545,-0.091125,0.4972375
0.53522,-0.04308,0.20957
0.444014286,0.048857143,0.0736
0.4148,0.110311111,0.075088889
0.456922222,0.105022222,0.206533333
0.5846,0.017788889,0.380211111
0.742225,-0.0579875,0.5154
0.890157143,-0.0784,0.527571429
0.97785,-0.09758,0.4212
1.0358375,-0.135875,0.3364875
1.120088889,-0.113411111,0.387822222
1.16065,-0.01015,0.548725
1.128788889,0.068333333,0.678411111
1.1054,0.03265,0.575475
1.184955556,-0.126344444,0.003155556
1.195288889,-0.136222222,-0.292311111
1.28175,-0.0966875,-0.059675
1.75455,-0.1664875,0.0502375
1.9729,-0.285411111,0.127477778
1.591925,-0.2383125,0.5934375
1.188288889,-0.062211111,0.977222222
1.1160125,-0.3344625,0.6857
1.250311111,-0.386666667,0.208055556
1.1993625,-0.2135375,-0.0740875
0.8433,-0.104822222,-0.031911111
0.5105875,-0.114525,0.1571125
0.397511111,-0.0956,0.279877778
0.4374,-0.0226875,0.2636125
0.518233333,0.022011111,0.1516
0.641677778,0.048244444,0.024777778
0.7567375,0.0541875,-0.032075
0.8640125,0.0661375,-0.0248625
0.933411111,0.0873,0.013266667
0.97785,0.09785,0.089683333
0.972727273,0.096545455,0.268090909
0.9458,0.081125,0.5102
0.954566667,0.056111111,0.557866667
1.010371429,0.040042857,0.451671429
1.08672,0.05539,0.38089
1.1446875,0.09505,0.37005
1.141766667,0.093688889,0.353488889
1.101125,0.0540125,0.2819625
1.049433333,0.007288889,0.254766667
0.9934,-0.029216667,0.322866667
0.984454545,0.038427273,0.364709091
1.018325,0.074075,0.3746875
1.195844444,-0.074555556,0.154211111
1.3907875,-0.214325,-0.156425
1.455322222,-0.305944444,-0.368744444
1.3382125,-0.3868875,-0.355725
1.079111111,-0.4176,-0.165811111
0.8652125,-0.452975,0.11365
