acc_x,acc_y,acc_z
1.155511111,-0.200255556,0.183922222
1.20745,-0.2034875,0.2874125
1.116044444,-0.231288889,0.432144444
1.043475,-0.2565,0.512
1.003455556,-0.243277778,0.2264
0.9836375,-0.255875,-0.02625
1.1491,-0.2536,-0.097675
1.374711111,-0.216844444,-0.118344444
1.458785714,-0.177471429,-0.095557143
1.26162,-0.15202,-0.00631
0.971975,-0.163375,0.0449625
0.796511111,-0.149988889,0.020911111
0.73695,-0.1390375,-0.0071125
0.7383,-0.1045,0.009733333
0.737377778,-0.082566667,0.105322222
0.752925,-0.059125,0.1909625
0.778911111,-0.013477778,0.2054
0.808285714,0.003614286,0.181014286
0.833622222,0.002788889,0.125522222
0.819577778,-0.012055556,0.045722222
0.768111111,-0.051866667,-0.019266667
0.77555,-0.0688,-0.0382875
0.855255556,-0.082311111,0.0039
0.945457143,-0.0816,0.0799
1.020077778,-0.110377778,0.162177778
1.1034,-0.1403,0.177555556
1.1608875,-0.1167875,0.1645375
1.1683,-0.1023,0.146277778
1.152411111,-0.134533333,0.120811111
1.1332,-0.1899375,0.110825
1.239044444,-0.190244444,0.065355556
1.31965,-0.110025,-0.0619875
1.352244444,-0.105633333,-0.085966667
1.471725,-0.209075,-0.0169125
1.5887375,-0.28985,0.045375
1.511866667,-0.302444444,0.1492
1.148533333,-0.3137,0.349244444
0.7947125,-0.3576,0.4383625
0.5896875,-0.3854,0.3229
0.525311111,-0.338044444,0.138444444
0.618466667,-0.253288889,-0.026233333
0.800425,-0.1993125,-0.052
0.95655,-0.1611375,-0.002675
1.034244444,-0.115722222,0.0811
0.985666667,-0.065722222,0.198911111
0.86415,-0.0453875,0.2770875
0.779,-0.036066667,0.264877778
0.725425,-0.0377,0.1966875
0.699725,-0.034575,0.124875
0.676533333,-0.010577778,0.094288889
0.675122222,-0.010911111,0.102144444
0.7248875,-0.026175,0.121875
0.83065,-0.0290375,0.11775
0.940488889,-0.048988889,0.1234
0.996822222,-0.091888889,0.1411
1.0254625,-0.1259,0.198025
1.1049875,-0.0749125,0.2740125
1.183911111,-0.059544444,0.409277778
1.255671429,-0.113085714,0.551185714
1.2808,-0.19544,0.4422
1.2618875,-0.1994875,0.1268875
1.228977778,-0.245377778,-0.062677778
1.199325,-0.262125,-0.09595
1.17345,-0.216925,-0.046
1.21384,-0.12583,0.04775
1.26505,-0.0662375,0.1072125
1.2722,-0.0576,0.1093875
1.2013,-0.068311111,0.018122222
1.051725,-0.12835,-0.0866125
0.8868,-0.1905,-0.157066667
0.772288889,-0.195611111,-0.156111111
0.7659375,-0.1321,-0.0641125
0.785875,-0.05195,0.086675
0.814216667,-0.000416667,0.234433333
0.833054545,0.035163636,0.336709091
0.791088889,0.035555556,0.326333333
0.7595375,0.03225,0.2656875
0.752344444,0.002633333,0.161988889
0.732433333,-0.066911111,-0.001566667
0.7016125,-0.0981875,-0.0942625
0.6772875,-0.091025,-0.0968875
0.734155556,-0.0798,-0.040544444
0.9284375,-0.06175,0.0143875
1.11654,-0.05746,0.01708
1.297116667,-0.082191667,0.017166667
1.406188889,-0.106188889,0.0784
1.36155,-0.1290625,0.1986375
1.340166667,-0.194522222,0.3527
1.37058,-0.18412,0.1521
1.3006,-0.156016667,-0.102041667
1.3165,-0.204822222,-0.189711111
1.4152,-0.3065625,-0.14035
1.415475,-0.3177375,-0.079025
1.233133333,-0.297588889,0.046722222
0.963125,-0.3050875,0.182425
0.7335,-0.327422222,0.253911111
0.630225,-0.3276125,0.3127625
0.715422222,-0.277455556,0.293266667
0.88615,-0.1916375,0.18985
1.013466667,-0.110633333,0.1156
1.0422875,-0.01055,0.102
0.941033333,0.057911111,0.114644444
0.781975,0.050175,0.0767875
0.656988889,0.015833333,-0.015544444
0.5725625,-0.0109625,-0.102825
0.521988889,-0.053611111,-0.090722222
0.535744444,-0.089544444,0.026888889
0.6980375,-0.08975,0.1181125
0.915055556,-0.080233333,0.135755556
1.0593625,-0.09965,0.1305375
1.127744444,-0.136177778,0.113833333
1.2027625,-0.144,0.1019875
1.252875,-0.1429375,0.1611625
1.234725,-0.1627,0.2872125
1.176555556,-0.160422222,0.168766667
1.155077778,-0.222111111,0.041811111
1.2080375,-0.349075,0.04605
1.419011111,-0.342666667,0.153511111
1.550888889,-0.201222222,0.131322222
1.41485,-0.0973375,-0.0087875
1.1278625,-0.0768625,-0.06975
0.841188889,-0.105577778,-0.081155556
0.6787625,-0.1665375,-0.1175625
0.671777778,-0.167755556,-0.186988889
0.734425,-0.0924875,-0.1748625
0.792177778,-0.014688889,-0.0694
0.832275,0.0451625,0.066475
0.829266667,0.061611111,0.214122222
0.80315,0.041683333,0.2902
0.772181818,0.045745455,0.253181818
0.7302,0.052677778,0.1465
0.680375,0.031025,0.0515875
0.6402125,-0.021575,-0.034475
0.641977778,-0.047611111,-0.059311111
0.7016,-0.04335,-0.011575
0.828033333,-0.057577778,0.055155556
1.003225,-0.0411125,0.0621875
1.2015625,0.030575,0.043175
1.3778,0.079466667,0.055022222
1.438844444,0.027277778,0.183344444
1.3762875,-0.016025,0.2908375
1.234411111,-0.003344444,0.349488889
1.1428875,-0.009325,0.346975
1.218222222,-0.051733333,0.209922222
1.366711111,-0.091188889,0.018011111
1.52725,-0.14295,-0.0826375
1.6289875,-0.2258,-0.1135125
1.609233333,-0.278055556,-0.108977778
1.4411,-0.3186,-0.084433333
1.187325,-0.3272375,-0.054725
0.9239375,-0.2965,-0.01185
0.679355556,-0.275722222,0.070144444
0.548875,-0.2578875,0.1726625
0.5841,-0.209644444,0.216966667
0.727175,-0.171525,0.2032625
0.8751,-0.110933333,0.139033333
0.918375,-0.0547,0.0953125
0.860033333,-0.0265,0.100788889
0.7517875,-0.0216625,0.08955
0.628044444,-0.038988889,0.063688889
0.558625,-0.039975,0.0361
0.557022222,-0.038377778,0.0377
0.5965,-0.0395625,0.050575
0.655855556,-0.0212,0.074466667
0.73705,0.013975,0.1063625
0.839988889,0.026222222,0.141022222
0.9086375,-0.0074,0.1869375
0.918344444,-0.031155556,0.251833333
0.906625,-0.0274625,0.336925
0.9162,0.001488889,0.406977778
0.92705,0.0017625,0.421625
0.93965,-0.0132125,0.4019
0.969833333,0.008022222,0.364588889
1.016328571,0.023271429,0.350685714
1.08403,0.01741,0.30503
1.118775,0.0114375,0.2665375
1.068077778,-0.0052,0.289422222
1.004744444,-0.013044444,0.368544444
1.0148,-0.009216667,0.437733333
1.085163636,-0.049254545,0.264154545
1.1938,-0.164025,0.0699
