acc_x,acc_y,acc_z
1.083222222,-0.199666667,0.374755556
1.1750875,-0.3702,0.290575
1.2233,-0.3952,0.243977778
1.2338,-0.2838,0.2379
1.266188889,-0.2326,0.2861
1.156075,-0.2297625,0.290575
0.944028571,-0.217871429,0.301771429
0.76858,-0.20033,0.28495
0.658244444,-0.189,0.2273
0.64155,-0.1730625,0.157125
0.714366667,-0.150844444,0.136177778
0.81325,-0.158825,0.10625
0.901875,-0.1792,0.077425
1.032888889,-0.155422222,0.098333333
1.1491625,-0.112775,0.1469625
1.118288889,-0.109877778,0.245122222
0.974188889,-0.116444444,0.325477778
0.8704,-0.104175,0.398875
0.822211111,-0.094,0.411455556
0.8175,-0.0819125,0.3562375
0.845855556,-0.079055556,0.296677778
0.8765625,-0.080125,0.248525
0.912322222,-0.094655556,0.234222222
0.954475,-0.108525,0.2669125
1.015077778,-0.121044444,0.317233333
1.0867875,-0.1109875,0.3707625
1.117675,-0.10635,0.4136
1.090877778,-0.114455556,0.436688889
0.989888889,-0.150411111,0.461222222
0.9193125,-0.1250875,0.499525
0.917575,-0.0454,0.54775
0.918644444,-0.005144444,0.512533333
0.946955556,-0.007744444,0.373388889
1.03965,-0.052675,0.1811125
1.225566667,-0.098577778,0.075177778
1.40995,-0.2219,0.05635
1.485044444,-0.320911111,0.091455556
1.2408125,-0.36695,0.1819875
0.867875,-0.4234,0.3491375
0.566877778,-0.494633333,0.585244444
0.4945,-0.457777778,0.549444444
0.5142,-0.4060625,0.4714125
0.639633333,-0.296811111,0.397844444
0.851625,-0.039725,0.4130125
0.9658,0.117877778,0.438366667
1.012925,0.122975,0.355025
1.021233333,0.0693,0.2632
1.005725,0.0226375,0.2638875
0.968777778,-0.015533333,0.316522222
0.8443625,-0.17385,0.364175
0.698,-0.2406875,0.35915
0.6598,-0.226525,0.4428875
0.696588889,-0.141666667,0.484422222
0.686266667,-0.130122222,0.452344444
0.659522222,-0.180222222,0.432977778
0.6659125,-0.2111625,0.4511
0.777522222,-0.197811111,0.499333333
0.9173,-0.207957143,0.516757143
1.041233333,-0.220733333,0.506077778
1.129855556,-0.172433333,0.491688889
1.105366667,-0.124811111,0.530277778
1.04535,-0.0848125,0.615325
0.960014286,-0.058028571,0.664414286
0.8797,-0.07834,0.65
0.879875,-0.1185875,0.565875
0.978,-0.192066667,0.468966667
1.125622222,-0.269844444,0.381211111
1.1599375,-0.23135,0.3339875
1.1762,-0.212011111,0.225677778
1.17235,-0.2260125,0.110625
1.0147875,-0.25025,0.0811375
0.726855556,-0.2734,0.174555556
0.5318625,-0.2491875,0.28195
0.551688889,-0.168133333,0.319444444
0.666275,-0.1313375,0.2613625
0.822366667,-0.123266667,0.197122222
0.92655,-0.1340125,0.173725
1.102333333,-0.107333333,0.178266667
1.2918125,-0.0468,0.151625
1.248333333,-0.052577778,0.172677778
1.0521125,-0.12435,0.2854875
0.8219,-0.164277778,0.431188889
0.68976,-0.16156,0.51592
0.6743,-0.124466667,0.494316667
0.7782625,-0.054975,0.3616125
0.873422222,0.0014,0.2729
0.942077778,0.037844444,0.222866667
0.99925,0.0696625,0.2275
1.045566667,0.093022222,0.292744444
1.1025125,0.09425,0.3861
1.1439625,0.070725,0.45595
1.1241625,0.033525,0.4638875
1.04301,-0.00844,0.44053
0.960425,-0.032825,0.4500875
0.8889,-0.0469375,0.4857375
0.886555556,-0.028911111,0.473733333
0.970733333,-0.018922222,0.374855556
1.1086,-0.04175,0.2370625
1.235966667,-0.125333333,0.1234
1.3503125,-0.2286625,0.077575
1.3877625,-0.288825,0.1547875
1.2589,-0.306055556,0.262722222
0.925077778,-0.3364,0.294822222
0.71225,-0.3632625,0.347275
0.61245,-0.3716375,0.3715625
