acc_x,acc_y,acc_z
0.995430769,-0.014338462,0.143815385
0.991233333,-0.012511111,0.152833333
0.9921,-0.014988889,0.159466667
0.994275,-0.014025,0.1609875
0.986828571,-0.014328571,0.161785714
0.98927,-0.01503,0.16212
1.010342857,-0.013528571,0.160771429
0.98355,-0.01386,0.15939
0.9885,-0.014022222,0.1556
0.99725,-0.0153125,0.1615625
0.989,-0.015022222,0.161166667
0.987722222,-0.014111111,0.1611
0.9948625,-0.0141125,0.1610875
0.9911125,-0.0161875,0.1588
0.992866667,-0.012777778,0.160777778
0.991422222,-0.013777778,0.162277778
0.99145,-0.0145,0.16005
0.9918875,-0.0142125,0.1596875
0.994025,-0.0139875,0.1573125
0.99103,-0.01461,0.16125
0.992714286,-0.0142,0.158957143
0.99052,-0.01419,0.15924
0.992225,-0.0152,0.1600375
0.990657143,-0.014228571,0.160828571
0.992609091,-0.0143,0.158909091
0.9912875,-0.0146,0.1588
0.989857143,-0.014485714,0.159857143
0.99238,-0.01364,0.15885
0.992022222,-0.014055556,0.157688889
0.9915875,-0.015,0.158525
0.9906375,-0.0132,0.1584125
0.992366667,-0.014911111,0.156944444
0.992188889,-0.014188889,0.156211111
0.9912875,-0.01385,0.1570375
0.992488889,-0.013633333,0.155833333
0.9922625,-0.0134375,0.156475
0.991622222,-0.014233333,0.156355556
0.992925,-0.0131,0.156225
0.992388889,-0.013733333,0.156244444
0.9920875,-0.01465,0.1551125
0.992722222,-0.0135,0.154088889
0.9917875,-0.013625,0.1542375
0.99209,-0.01486,0.15559
0.9912,-0.0143,0.1569125
0.991622222,-0.013477778,0.155366667
0.9926875,-0.0135125,0.1540375
0.9924125,-0.014525,0.1542375
0.992122222,-0.014711111,0.153766667
0.991666667,-0.014233333,0.156188889
0.9939625,-0.013425,0.15405
0.990611111,-0.0144,0.155011111
0.9930875,-0.0148625,0.153525
0.993544444,-0.014222222,0.153366667
0.990522222,-0.014188889,0.154633333
0.9931125,-0.014925,0.1543375
0.990888889,-0.014411111,0.156311111
