acc_x,acc_y,acc_z
0.95846,0.07721,0.38267
0.7428,0.02975,0.3640125
0.552477778,-0.050444444,0.333511111
0.5018,-0.0982625,0.2680875
0.545942857,-0.115128571,0.204671429
0.60395,-0.11227,0.17589
0.7286,-0.0459,0.172633333
0.8723625,0.02515,0.1907625
0.9880125,0.0706875,0.2604375
1.063514286,0.0631,0.322742857
1.15034,0.02794,0.38136
1.145155556,-0.007666667,0.478611111
1.183477778,-0.041255556,0.459244444
1.178985714,-0.077485714,0.307171429
1.17782,-0.11804,0.26887
1.3870875,-0.0775875,0.2380375
1.557077778,-0.031122222,0.205744444
1.5019625,-0.0196875,0.17315
1.2455875,-0.0327875,0.1466375
0.991177778,-0.047233333,0.102622222
0.8567375,-0.0324875,0.0420375
0.763622222,-0.023277778,0.009533333
0.720975,-0.0097625,0.0179
0.753677778,0.036711111,0.096288889
0.79594,0.0999,0.1716
0.84285,0.170233333,0.194991667
0.877311111,0.1802,0.166822222
0.854125,0.143625,0.1227375
0.7592,0.0906,0.1254375
0.6828375,0.06245,0.1601125
0.68685,0.04417,0.19155
0.7422625,0.0319625,0.17075
0.852855556,0.012166667,0.120911111
0.9645875,-0.015975,0.093775
1.034325,-0.0369625,0.1456125
1.137655556,0.018322222,0.2542
1.2578625,0.0463625,0.327
1.290633333,-0.004588889,0.342077778
1.2573625,-0.067925,0.3017375
1.267828571,0.006728571,0.177071429
1.356590909,0.100163636,0.092145455
1.6219875,0.1017625,0.0822375
1.759411111,0.026966667,0.094911111
1.51565,-0.0351375,0.155
1.1168,-0.118157143,0.247985714
0.74998,-0.19557,0.31649
0.578511111,-0.227033333,0.308266667
0.6015875,-0.1848,0.27745
0.7053375,-0.1399125,0.256575
0.816742857,-0.076442857,0.246928571
0.94817,0.0073,0.23798
1.001544444,0.085666667,0.231966667
0.901944444,0.1331,0.237677778
0.7102125,0.1231875,0.2266875
0.565911111,0.12,0.153911111
0.538625,0.1017375,0.05255
0.51065,0.045125,-0.0076625
0.535288889,-0.002822222,-0.006377778
0.680455556,0.021933333,0.026488889
0.886475,0.06735,0.130475
1.065133333,0.094422222,0.282666667
1.143125,0.065375,0.524375
1.1562,0.056855556,0.7003
1.16575,0.031675,0.7329125
1.2318625,-0.0023625,0.575775
1.252155556,-0.041344444,0.249266667
1.2272375,-0.063425,0.1135375
1.344988889,-0.135511111,0.1327
1.603188889,-0.062655556,0.205244444
1.655914286,0.0887,0.259657143
1.39163,0.12672,0.27927
1.0179125,0.0943,0.2447
0.759822222,0.0306,0.142622222
0.655125,0.0116125,0.04255
0.626671429,0.054471429,-0.0092
0.68171,0.1335,0.00116
0.7797125,0.182325,0.071775
0.757566667,0.146888889,0.155222222
0.6713875,0.0958625,0.2005875
0.6313,0.09145,0.205025
0.588461538,0.075253846,0.206015385
0.5705875,0.0069,0.184775
0.5975375,-0.0374875,0.1247
0.67822,-0.03975,0.11755
0.822257143,0.027771429,0.177657143
1.00909,0.09604,0.26936
1.227188889,0.126666667,0.299533333
1.4235,0.150925,0.27445
1.467755556,0.137622222,0.315977778
1.35505,0.090516667,0.399783333
1.23419,0.06672,0.46088
1.267588889,0.066455556,0.294788889
1.371755556,0.069077778,-0.0539
1.47665,0.02075,-0.1258625
1.619483333,-0.023383333,-0.016533333
1.636018182,-0.038072727,0.157754545
1.246777778,-0.103522222,0.344511111
0.7841125,-0.2177,0.3965875
0.576775,-0.2524,0.3475375
0.598733333,-0.214488889,0.252911111
0.726266667,-0.115511111,0.195511111
0.794975,-0.023225,0.22035
0.8237,0.028577778,0.253533333
0.905925,0.1230625,0.22855
0.926566667,0.208066667,0.198622222
0.820025,0.223325,0.1797125
0.6240625,0.1835875,0.194625
0.501,0.098555556,0.168333333
0.4797375,-0.001675,0.1002
0.486528571,-0.026457143,0.1049
0.580427273,-0.012345455,0.150845455
0.7459875,0.00445,0.2056
0.9493,0.037211111,0.232222222
1.1374125,0.0651625,0.2916875
1.25525,0.076575,0.3922625
1.289,0.094533333,0.543911111
1.3204125,0.0626,0.5480875
1.329066667,-0.000211111,0.279622222
1.2229,-0.04935,0.1293
1.2108125,-0.0752,0.1398875
1.38149,-0.03195,0.18656
1.5284375,0.0505625,0.2460875
1.46765,0.0932125,0.27105
1.242788889,0.113444444,0.226422222
0.984614286,0.046257143,0.165971429
0.77932,-0.03241,0.05901
0.6714875,-0.0536875,-0.0249375
0.711022222,0.0516,0.019722222
0.768857143,0.170342857,0.135457143
0.7900375,0.245975,0.2234875
0.73238,0.2474,0.26946
0.667955556,0.195522222,0.250744444
0.656411111,0.1324,0.189588889
0.6639375,0.103725,0.1342625
0.658375,0.0678875,0.091075
0.645711111,0.021455556,0.033433333
0.6590125,0.0149125,0.0008375
0.748211111,0.052222222,0.0389
0.940411111,0.111633333,0.112166667
1.0857375,0.1778375,0.1929875
1.1964375,0.1856625,0.2764375
1.3566,0.187766667,0.358511111
1.451977778,0.227611111,0.446344444
1.321075,0.2118,0.5339
1.154522222,0.140066667,0.541888889
1.1937875,0.1337375,0.3301375
1.3186875,0.1795625,0.1446125
1.468655556,0.211688889,0.144333333
1.597066667,0.153211111,0.174888889
1.5167375,0.033975,0.1384375
1.28395,-0.062575,0.08795
0.999788889,-0.143677778,0.021944444
0.756555556,-0.173077778,0.010188889
0.6826125,-0.129225,-0.0115625
0.6746375,-0.087225,-0.0504
0.693933333,-0.025733333,0.003022222
0.761025,0.043825,0.1456375
