acc_x,acc_y,acc_z
0.8635,-0.1033,0.090375
0.8135,-0.1149,0.107188889
0.827855556,-0.132066667,0.168666667
0.906425,-0.117275,0.2354
0.99475,-0.0901625,0.255925
1.044777778,-0.081488889,0.233722222
1.039344444,-0.086766667,0.197333333
0.9963125,-0.0858625,0.174725
0.936911111,-0.081355556,0.180733333
0.8885,-0.0861625,0.1724625
0.8784125,-0.0935125,0.128025
0.906166667,-0.089244444,0.094677778
0.982055556,-0.107811111,0.138111111
1.0667,-0.132825,0.23105
1.129422222,-0.133433333,0.301944444
1.18225,-0.067275,0.2825125
1.201833333,-0.052466667,0.184411111
1.17355,-0.108175,0.1226
1.144025,-0.1844125,0.1038875
1.171344444,-0.201311111,0.146444444
1.2507625,-0.168475,0.261375
1.3182625,-0.119475,0.3523125
1.34965,-0.08722,0.32949
1.319375,-0.1052375,0.236875
1.2779375,-0.1614875,0.1060125
1.261566667,-0.207244444,-0.060733333
1.235244444,-0.214888889,-0.165577778
1.2132375,-0.2653,-0.1794625
1.176775,-0.31395,-0.1437125
1.0644125,-0.3406625,-0.0574
0.862111111,-0.395433333,0.102622222
0.660377778,-0.468711111,0.244366667
0.57965,-0.46735,0.30015
0.6788,-0.403633333,0.337177778
0.877822222,-0.276755556,0.341855556
1.0146625,-0.18185,0.2660875
1.043722222,-0.093411111,0.160733333
0.9648,-0.081725,0.10535
0.846022222,-0.113877778,0.049311111
0.7508875,-0.1197375,0.019375
0.693333333,-0.127744444,0.031288889
0.6659625,-0.1490125,0.049325
0.713444444,-0.160122222,0.0721
0.8183375,-0.1783875,0.133075
0.919366667,-0.205466667,0.179288889
1.0017125,-0.2633375,0.189875
1.085022222,-0.2657,0.144344444
1.1617625,-0.2297375,0.1264375
1.213722222,-0.204011111,0.181811111
1.1929,-0.1996375,0.3472875
1.1268,-0.200275,0.3585625
1.116188889,-0.204044444,0.187188889
1.0695375,-0.2310875,0.07645
1.031466667,-0.305777778,0.072777778
1.114522222,-0.391033333,0.079944444
1.164925,-0.3499375,0.0843125
1.061066667,-0.269033333,-0.062944444
0.948425,-0.222425,-0.0689375
0.851722222,-0.175677778,-0.037466667
0.745625,-0.1425625,-0.01205
0.685877778,-0.109111111,-0.018822222
0.7071125,-0.0956125,0.00135
0.807522222,-0.095744444,0.023566667
0.933775,-0.089575,0.0771
1.004588889,-0.0727,0.153888889
0.95495,-0.044675,0.21655
0.83545,-0.0481875,0.237325
0.800466667,-0.064611111,0.148577778
0.868933333,-0.1009,0.041655556
0.9216375,-0.133,0.041875
0.886233333,-0.156033333,0.072988889
0.8124375,-0.1752125,0.0920375
0.8212,-0.1812,0.0919
0.9253875,-0.1698625,0.0909
1.0210375,-0.1835,0.0991375
1.092533333,-0.2014,0.093533333
1.1785,-0.209333333,0.119766667
1.2614875,-0.1964375,0.1621375
1.297525,-0.1840875,0.1849125
1.290988889,-0.1706,0.101422222
1.248022222,-0.175233333,0.003033333
1.2958625,-0.24095,-0.026675
1.416244444,-0.372055556,-0.071977778
1.45665,-0.4639625,-0.0676
1.3491,-0.4678875,-0.051075
1.094766667,-0.405766667,0.023866667
0.7903125,-0.29895,0.1426625
0.5414,-0.262444444,0.244222222
0.5052625,-0.255175,0.30235
0.637922222,-0.2204,0.319466667
0.8244375,-0.16195,0.27495
0.914844444,-0.145766667,0.208455556
0.888822222,-0.151877778,0.166877778
0.84495,-0.1073125,0.0792
0.765788889,-0.097344444,0.010577778
0.6977875,-0.1334625,0.002975
0.698477778,-0.150455556,0.073822222
0.7580375,-0.136275,0.14375
0.835188889,-0.142922222,0.173088889
0.91975,-0.1733375,0.190225
0.978822222,-0.219844444,0.240322222
1.0135625,-0.210925,0.28135
1.039277778,-0.206722222,0.3211
1.079725,-0.2454125,0.3561625
1.144644444,-0.256977778,0.356655556
1.1578375,-0.2340875,0.3307125
1.110622222,-0.264311111,0.342088889
1.074625,-0.38615,0.3192125
1.202866667,-0.4868,0.133022222
1.4216625,-0.484175,-0.0497625
1.529555556,-0.370233333,-0.128333333
1.3934,-0.2519625,-0.0724
1.063422222,-0.214088889,-0.006155556
0.7587875,-0.2289375,-0.0137625
0.582855556,-0.244288889,-0.021422222
0.54495,-0.1937,0.005625
0.628822222,-0.129311111,0.062033333
0.7620125,-0.0489375,0.129925
0.85135,0.0038875,0.182375
0.870822222,-0.013433333,0.204911111
0.859933333,-0.0745,0.184533333
0.8721,-0.1190875,0.1599
0.9262375,-0.1212,0.1501
0.961166667,-0.1025,0.1643
0.942511111,-0.104088889,0.175733333
0.89805,-0.13595,0.164175
0.869775,-0.1527,0.1286875
0.855477778,-0.1547,0.119066667
0.872825,-0.139875,0.1439875
0.916922222,-0.141622222,0.156422222
0.9957375,-0.1443125,0.1314125
1.078155556,-0.163644444,0.1235
1.155275,-0.20915,0.1568375
1.225188889,-0.2745,0.195077778
1.285888889,-0.293944444,0.162555556
1.28135,-0.2684125,0.14335
1.2449625,-0.2848,0.1441625
1.261477778,-0.343688889,0.145111111
1.399677778,-0.424177778,0.0702
1.458575,-0.466775,0.018225
1.3599375,-0.411125,0.0320125
1.106166667,-0.3154,0.090888889
0.817725,-0.2470375,0.157475
0.599377778,-0.228511111,0.197822222
0.519911111,-0.2552,0.2032
0.6433,-0.2906,0.1964125
0.8210625,-0.293875,0.206
0.993655556,-0.248388889,0.231455556
1.060933333,-0.147477778,0.232966667
0.948225,-0.0931875,0.2107875
0.79,-0.078825,0.16925
0.666655556,-0.057088889,0.123411111
0.5897,-0.045566667,0.109955556
0.5711375,-0.0683625,0.116125
0.6135875,-0.146025,0.11525
0.705977778,-0.204155556,0.151355556
0.845025,-0.2123,0.2148375
0.998822222,-0.227633333,0.236733333
1.1447125,-0.247525,0.2607375
1.241755556,-0.292433333,0.270988889
1.2816375,-0.3084125,0.232225
1.274255556,-0.278677778,0.1654
1.216266667,-0.288688889,0.119622222
1.1704,-0.376575,0.1144
1.207125,-0.48,0.0342125
1.3656,-0.4875,-0.057044444
1.437811111,-0.366088889,-0.053511111
1.2769125,-0.2388,0.08265
1.0123875,-0.1950625,0.1368125
0.758055556,-0.167555556,0.070088889
0.60385,-0.1428,-0.0200125
0.625633333,-0.091866667,-0.063444444
0.7351,-0.0443125,-0.0281375
0.846077778,-0.014766667,0.067322222
0.9110875,0.0091,0.2433
0.862055556,0.039855556,0.345455556
0.711777778,-0.044,0.286233333
0.642775,-0.1490125,0.1395625
0.6537125,-0.1824375,0.0046125
0.6804,-0.1819125,-0.04795
0.723155556,-0.171088889,-0.018855556
0.831011111,-0.150577778,0.051577778
0.98335,-0.15615,0.1296
1.153488889,-0.2024,0.152433333
1.3435,-0.2446,0.09525
1.428166667,-0.297188889,0.076233333
1.3532375,-0.33855,0.1370625
1.257744444,-0.313122222,0.2457
1.2708375,-0.27585,0.1978125
1.254525,-0.2330125,0.0248875
1.22539,-0.28495,-0.00923
1.34105,-0.376625,-0.0656875
1.4789125,-0.392775,-0.065125
1.4579625,-0.3585125,0.0288375
1.12114,-0.3077,0.13908
0.740875,-0.3131625,0.204575
0.4697125,-0.3475375,0.3230125
0.460055556,-0.287366667,0.3695
0.7158375,-0.16175,0.313575
0.894355556,-0.121033333,0.182122222
0.9063125,-0.1606625,0.0442875
0.825466667,-0.193244444,-0.025488889
0.714911111,-0.156,-0.015255556
0.6407875,-0.0905125,0.0587125
0.567966667,-0.066344444,0.1522
0.4933375,-0.073,0.1963125
0.484625,-0.0910375,0.2069875
0.599211111,-0.102177778,0.175122222
0.7689,-0.1333,0.134533333
0.90725,-0.1383625,0.1224375
1.034925,-0.1616875,0.1490625
1.183911111,-0.211666667,0.1894
1.33325,-0.255525,0.2214875
1.443066667,-0.281566667,0.291288889
1.47145,-0.2918875,0.4871125
1.256955556,-0.208955556,0.684488889
1.030177778,-0.255466667,0.522588889
1.010225,-0.3820625,0.1817875
1.002133333,-0.5091,0.025122222
1.05755,-0.49685,-0.0377125
1.194775,-0.3770375,-0.1091125
1.273355556,-0.285055556,-0.102655556
1.223011111,-0.288644444,-0.063233333
1.071725,-0.3457875,-0.075525
0.9196625,-0.366375,-0.12105
0.783233333,-0.339088889,-0.138922222
0.727325,-0.2976375,-0.0969625
0.740977778,-0.229166667,-0.003722222
0.7844625,-0.1448625,0.0783875
0.818333333,-0.066255556,0.109022222
0.82285,-0.0206125,0.165075
0.859366667,-0.017633333,0.229855556
0.904455556,-0.069277778,0.180088889
0.8984,-0.1146875,0.1279
0.8588375,-0.132925,0.0990125
0.768022222,-0.144466667,0.093444444
0.673622222,-0.1618,0.094422222
0.6407625,-0.155175,0.0847125
0.6854875,-0.1177375,0.0689
0.766155556,-0.0806,0.078922222
0.85035,-0.021425,0.127175
0.9217,0.029966667,0.189344444
0.9592625,0.0496875,0.269275
0.972844444,0.044166667,0.290288889
1.014375,-0.0169,0.251075
1.097055556,-0.039233333,0.218977778
1.1525,-0.022144444,0.242944444
1.1656125,-0.048675,0.23705
1.1814625,-0.113975,0.196625
1.222655556,-0.136622222,0.242811111
1.237,-0.020811111,0.4456
1.2508875,0.0727875,0.4849375
1.2889,-0.1478375,0.3273375
1.355544444,-0.406933333,0.043111111
1.4128625,-0.473425,-0.133925
1.363888889,-0.4073,-0.1821
1.2006625,-0.38655,-0.1442125
0.982877778,-0.475866667,-0.0802
0.820044444,-0.571533333,-0.030355556
0.776342857,-0.558057143,0.0207
0.80777,-0.39304,0.15812
0.8284625,-0.1722625,0.4066125
0.8104625,-0.048125,0.4542
0.7571,-0.044744444,0.3281
0.723744444,-0.080011111,0.184577778
0.6951125,-0.0801375,0.1099625
0.669625,-0.0707125,0.0954
0.685144444,-0.036122222,0.136055556
0.7158375,0.001675,0.1838375
0.760444444,0.028622222,0.225255556
0.8455875,-0.0036375,0.2624125
0.937477778,-0.041377778,0.253122222
1.00235,-0.0821875,0.229775
0.954644444,-0.119222222,0.231833333
0.8981,-0.123633333,0.255577778
0.9344125,-0.1225875,0.2654375
1.011725,-0.150125,0.1541875
1.055433333,-0.251466667,0.072155556
1.202511111,-0.355566667,0.065588889
1.5442,-0.3380875,-0.0408875
1.7180375,-0.2580625,-0.0517125
1.519433333,-0.126266667,0.105177778
1.115025,-0.08585,0.2703875
0.803744444,-0.110911111,0.262388889
0.7306,-0.1332375,0.162825
0.870377778,-0.101433333,0.130244444
0.9966,-0.05465,0.23115
1.007311111,-0.022822222,0.316666667
0.936777778,-0.047755556,0.307322222
0.8637125,-0.100675,0.2575
0.871725,-0.16485,0.2000125
0.976166667,-0.200922222,0.1626
1.1116625,-0.19485,0.135725
1.236877778,-0.165233333,0.086844444
1.312575,-0.1808,0.0425625
1.316344444,-0.199422222,0.060244444
1.239675,-0.1801875,0.0961125
1.097188889,-0.187655556,0.136566667
0.9877625,-0.1751375,0.1399
0.935522222,-0.151811111,0.117488889
1.035425,-0.1560875,0.0448875
1.202888889,-0.192611111,-0.002377778
1.258322222,-0.238311111,0.040066667
1.1314625,-0.2588625,0.125925
0.9462875,-0.297,0.181325
0.801588889,-0.3177,0.190088889
0.7744875,-0.31585,0.19195
0.787344444,-0.238533333,0.223822222
0.7948375,-0.1403125,0.249
0.781728571,-0.106414286,0.243128571
0.7496,-0.12327,0.19585
0.7422,-0.119033333,0.1331
0.7737125,-0.0985875,0.1225875
0.813855556,-0.073077778,0.162911111
0.881225,-0.0405375,0.2169625
0.940488889,-0.042355556,0.246822222
0.9762625,-0.094675,0.2370375
1.0167,-0.175788889,0.203366667
1.0907125,-0.210975,0.152875
1.1594,-0.203622222,0.135333333
1.199975,-0.1742375,0.1420125
1.114644444,-0.218888889,0.196511111
1.0562625,-0.299075,0.1889125
1.186666667,-0.334922222,0.082777778
1.3496,-0.32265,0.0132875
1.339044444,-0.2624,0.047944444
1.16585,-0.1870875,0.1048375
0.916822222,-0.176777778,0.134822222
0.75675,-0.1759625,0.1093
0.731033333,-0.148688889,0.085333333
0.819125,-0.0648875,0.0940125
0.887222222,0.005688889,0.158311111
0.881325,0.0445,0.213275
0.837144444,0.027855556,0.200844444
0.81915,-0.0100125,0.15815
0.8282,-0.040066667,0.164555556
0.82905,-0.0572,0.21055
0.826555556,-0.085144444,0.232188889
0.8436125,-0.109325,0.1995625
0.907444444,-0.144855556,0.137577778
1.018725,-0.1888875,0.1055375
1.104966667,-0.219344444,0.128766667
1.155175,-0.2116875,0.1354625
1.157666667,-0.224044444,0.145988889
1.141255556,-0.245233333,0.142988889
1.06245,-0.23005,0.1322625
1.046475,-0.251325,0.10785
1.244388889,-0.284633333,0.020655556
1.49065,-0.339175,0.0035625
1.551944444,-0.325222222,0.021888889
1.3609625,-0.272175,0.08655
1.024477778,-0.290755556,0.182633333
0.72955,-0.2933625,0.222575
0.593233333,-0.284411111,0.201388889
0.65235,-0.24,0.138425
0.808344444,-0.2047,0.134511111
0.9343875,-0.1961,0.1407
0.968955556,-0.172844444,0.139711111
0.900175,-0.134475,0.156325
0.802455556,-0.102544444,0.185455556
0.7665625,-0.05765,0.213775
0.747422222,-0.054955556,0.232988889
0.7388875,-0.065925,0.23655
0.763466667,-0.103222222,0.229266667
0.833975,-0.17965,0.231325
0.966077778,-0.244666667,0.221411111
1.115925,-0.250575,0.2256625
1.242933333,-0.207,0.2376
1.260675,-0.1522875,0.2641875
1.165733333,-0.135977778,0.257988889
1.0983,-0.2708375,0.2795125
1.107711111,-0.433377778,0.224777778
1.2760875,-0.4209125,0.0922
1.422488889,-0.290166667,0.019188889
1.3963375,-0.10165,0.049975
1.161377778,-0.029422222,0.1278
0.868111111,-0.067577778,0.095222222
0.6829375,-0.1014,0.0409875
0.6320875,-0.0823875,0.012975
0.673188889,-0.030944444,0.043155556
0.733875,-0.0056375,0.088575
0.771455556,-0.015966667,0.111022222
0.772075,-0.0303125,0.1074
0.732344444,-0.070455556,0.124866667
0.7101875,-0.0905875,0.1625875
0.723588889,-0.106244444,0.197711111
0.792922222,-0.148966667,0.214966667
0.9244125,-0.1546875,0.168025
1.06075,-0.1395875,0.124275
1.159,-0.129171429,0.119642857
1.20986,-0.13905,0.13356
1.1947,-0.190266667,0.119677778
1.1734125,-0.2222375,0.12955
1.174044444,-0.221155556,0.191144444
1.1263375,-0.1537,0.245
1.050933333,-0.101488889,0.245222222
1.0888625,-0.1719875,0.144725
1.251222222,-0.297622222,0.009333333
1.3741625,-0.3495375,0.0041875
1.308577778,-0.313477778,0.090255556
1.075675,-0.2614375,0.1834375
0.842333333,-0.2392,0.2227
0.714675,-0.2285625,0.2203875
0.768177778,-0.189955556,0.205933333
0.863122222,-0.138677778,0.218577778
0.9063125,-0.0979875,0.2236375
0.8787125,-0.060175,0.2057125
0.798922222,-0.055733333,0.175555556
0.71575,-0.0533125,0.1460125
