acc_x,acc_y,acc_z
0.064225,0.7704125,0.6415125
0.057544444,0.7669,0.643622222
0.0563125,0.77,0.6463875
0.06265,0.77195,0.644175
0.06356,0.77476,0.64026
0.061425,0.7715625,0.6432375
0.0598375,0.7685625,0.6426375
0.0645,0.7682625,0.642075
0.066975,0.77135,0.644475
0.06586,0.77132,0.6417
0.0612875,0.7695125,0.64225
0.0604,0.7727375,0.6402875
0.0638125,0.773225,0.6363
0.06212,0.77166,0.63689
0.0619875,0.7699625,0.6387375
0.060733333,0.771922222,0.635111111
0.0570125,0.7741125,0.6379375
0.0611,0.774411111,0.649322222
0.069633333,0.773888889,0.652744444
0.070585714,0.770214286,0.648757143
0.062011111,0.770166667,0.640022222
0.0588125,0.7714,0.6358625
0.06036,0.77305,0.63074
0.0585,0.7731625,0.6306375
0.059675,0.77275,0.6397
0.0628,0.772877778,0.637688889
0.0614375,0.7723,0.6491375
0.064933333,0.772355556,0.645711111
0.0643375,0.7715375,0.63285
0.0568125,0.7718125,0.6339
0.060555556,0.7744,0.633177778
0.062866667,0.775822222,0.637888889
0.059,0.7737,0.637125
0.058722222,0.771722222,0.632955556
0.06,0.772975,0.6232625
0.0605875,0.771675,0.6357625
0.06287,0.7747,0.64927
0.060725,0.7782125,0.648225
0.0602875,0.7771375,0.6395125
0.0596125,0.7736,0.6397125
0.064011111,0.771433333,0.642177778
0.060522222,0.771544444,0.640222222
0.0622875,0.7763,0.6392
0.0634125,0.773175,0.6377375
0.063011111,0.770422222,0.638
0.0619875,0.77295,0.6399125
0.05669,0.77083,0.63878
0.067157143,0.7731,0.639157143
0.065544444,0.774233333,0.6374
0.0548,0.769,0.6399375
0.06199,0.77382,0.65011
0.0684,0.7738875,0.64255
0.0615625,0.770675,0.64475
0.0598125,0.77185,0.6421
0.059725,0.7743125,0.633525
0.05916,0.77189,0.63553
0.0665625,0.7729,0.6341875
0.060225,0.77015,0.645275
0.060733333,0.770444444,0.644966667
0.063625,0.7744375,0.63345
0.059957143,0.769157143,0.6378
0.06338,0.77272,0.64463
0.0669125,0.7715125,0.645625
0.06105,0.76998,0.64665
0.0604875,0.769425,0.6370375
0.059216667,0.770566667,0.631533333
0.06517,0.7753,0.63918
0.0631,0.770844444,0.653977778
0.05954,0.77256,0.65659
0.062775,0.7713625,0.6496375
0.0676125,0.772,0.635475
0.06085,0.771225,0.636325
0.061055556,0.772033333,0.639622222
0.0612625,0.7711,0.64795
0.059214286,0.770371429,0.644871429
0.06025,0.77069,0.63389
0.059666667,0.772777778,0.641577778
0.0627,0.7721125,0.643175
0.058255556,0.771111111,0.638788889
